time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5551.899823	229.162643	1.005604	-0.256041	175
5553.960624	229.431763	1.006356	-0.255558	177
5556.026413	229.324707	1.002012	-0.255969	179
5558.091035	229.193146	1.004516	-0.254146	181
5560.153675	229.558502	1.002199	-0.254762	183
5562.218918	229.167908	1.002545	-0.253297	185
5564.281120	229.145554	0.999945	-0.251511	187
5566.343709	229.168716	1.000881	-0.250753	189
5568.405406	228.953827	0.999809	-0.250585	191
5570.469078	228.741974	0.997276	-0.248438	193
5572.529174	228.578156	0.995131	-0.247632	195
5574.593590	228.184982	0.992134	-0.246332	197
5576.655231	228.105453	0.991544	-0.245493	199
5578.717307	227.947906	0.989364	-0.244919	201
5580.781938	227.655411	0.990487	-0.244232	203
5582.842520	227.623550	0.988812	-0.243122	205
5584.907692	227.582291	0.987731	-0.242828	207
5586.970308	227.601212	0.986304	-0.242185	209
5589.033589	227.607758	0.983444	-0.241582	211
5591.098625	227.566757	0.983280	-0.240703	213
5593.160342	227.627090	0.984543	-0.241080	215
5595.224136	227.550446	0.984806	-0.241294	217
5597.287444	221.733047	0.882725	-0.500000	219
5599.349595	227.263504	0.985723	-0.241090	221
5601.411262	227.008469	0.982775	-0.239764	223
5603.474223	226.719940	0.982866	-0.239640	225
5605.535287	226.504028	0.982170	-0.239025	227
5607.598167	226.136429	0.979785	-0.238136	229
5609.660518	225.805252	0.980597	-0.237877	231
5611.721784	225.661285	0.977525	-0.237614	233
5613.785606	225.469131	0.976158	-0.236028	235
5615.847689	225.428116	0.974501	-0.235350	237
5617.911363	225.321396	0.971375	-0.234217	239
5619.974222	225.279343	0.970672	-0.233601	241
5622.037418	225.287201	0.969825	-0.233351	243
5624.101899	225.339691	0.970019	-0.232662	245
5626.165109	225.322235	0.968431	-0.232422	247
5628.229388	225.363174	0.967034	-0.231678	249
5630.292759	225.344467	0.965449	-0.230512	251
5632.355664	225.305252	0.964365	-0.229490	253
5634.418699	8.218215	-0.971080	0.500000	255
5636.481466	225.014984	0.959560	-0.227307	1
5638.543719	224.887466	0.956786	-0.225990	3
5640.605962	224.713364	0.955717	-0.225470	5
5642.668195	224.499237	0.956029	-0.225175	7
5644.730453	224.337112	0.954800	-0.224494	9
5646.793800	224.146027	0.954627	-0.224371	11
5648.856167	41.070457	-0.819061	0.500000	13
5650.919085	223.930267	0.954080	-0.224021	15
5652.982255	212.674530	0.639961	-0.500000	17
5655.045119	223.820221	0.950610	-0.222478	19
5657.109038	223.771957	0.949620	-0.222035	21
5659.171988	223.805969	0.948177	-0.221261	23
5661.235103	223.821716	0.945296	-0.220326	25
5663.298386	34.133270	-0.906265	0.500000	27
5665.361343	56.576115	-0.961401	0.500000	29
5667.423782	15.528061	-0.930553	0.500000	31
5669.486469	223.316162	0.944178	-0.219172	33
5671.548265	223.098618	0.943547	-0.218894	35
5673.610419	202.564774	0.909385	-0.500000	37
5675.673303	222.519562	0.942759	-0.218828	39
5677.735095	222.306946	0.941468	-0.217869	41
5679.797257	42.089405	-0.494956	0.500000	43
5681.859776	18.318678	-1.130979	0.500000	45
5683.922493	217.046341	0.562461	-0.500000	47
5685.985637	36.409153	-0.505817	0.500000	49
5688.048134	76.605972	-1.379921	0.500000	51
5690.111900	221.838013	0.936276	-0.214933	53
5692.175344	37.721252	-0.344289	0.500000	55
5694.238849	41.800228	-0.933760	0.213532	57
5696.302131	41.840157	-0.931961	0.212668	59
5698.365357	221.859100	0.930359	-0.211707	61
5700.428433	213.449249	0.897595	-0.500000	63
5702.491501	41.679752	-0.928689	0.210010	65
5704.554076	221.564072	0.926366	-0.209355	67
5706.616520	221.436172	0.924182	-0.208572	69
5708.679045	41.234615	-0.923465	0.208200	71
5710.741257	41.005695	-0.922828	0.207351	73
5712.803555	40.870689	-0.922374	0.207150	75
5714.866005	40.757324	-0.921936	0.206836	77
5716.928631	40.671181	-0.921153	0.206744	79
5718.991449	40.501579	-0.920032	0.205875	81
