time (s)	magX	magY	magZ
6189.164869	193.524841	168.620697	150.522507
6189.168204	191.070129	168.503799	146.606659
6189.171536	187.212738	168.094696	143.333725
6189.174866	184.348907	167.218018	138.482758
6189.178205	181.485107	166.516663	135.735825
6189.181535	177.803040	166.049103	131.761536
6189.184876	174.997665	165.230865	127.728806
6189.188206	172.484512	164.412628	123.871414
6189.191567	168.744019	164.003510	120.773819
6189.194866	166.230850	163.185287	117.851547
6189.198205	163.250137	162.600815	114.052612
6189.201533	160.620102	162.016373	112.299240
6189.204867	157.697845	160.905914	108.324951
6189.208198	155.067795	159.970795	105.227356
6189.211533	152.203979	159.269440	101.895966
6189.214863	149.924606	157.632965	99.441269
6189.218201	147.294556	157.457626	96.869675
6189.221536	145.132080	156.405624	94.531860
6189.224867	143.086502	155.704285	92.018707
6189.228199	140.164230	154.301590	88.453537
6189.231530	137.884857	153.191116	86.641724
6189.234871	135.780823	152.022217	84.654587
6189.238191	133.735245	151.203979	82.842773
6189.241527	131.397430	150.151962	80.504959
6189.244892	129.234955	149.333740	78.342499
6189.248193	127.598488	148.457047	76.998245
6189.251530	125.436005	147.405029	73.959091
6189.254861	123.741089	146.528351	72.907074
6189.258190	122.046165	145.359451	71.445938
6189.261528	120.877258	144.482758	68.991226
6189.264863	118.773232	143.372299	67.413208
6189.268196	117.604324	143.080078	66.185852
6189.271522	115.909409	141.677383	65.893631
6189.274862	114.389832	140.742264	64.140274
6189.278231	112.694916	139.398026	62.328465
6189.281527	110.240211	139.222687	60.925777
6189.284852	108.603745	139.047348	59.230862
6189.288193	107.727058	138.112213	58.295734
6189.291520	106.441261	137.352432	58.178844
6189.294855	105.330803	136.241974	55.198128
6189.298189	103.577446	135.599075	54.847454
6189.302866	100.538277	134.196381	53.444767
6189.306134	99.836937	133.728821	51.808300
6189.309035	97.674461	132.326126	50.171829
6189.312384	96.505554	131.800110	49.295147
6189.315720	95.278198	131.332550	48.243130
6189.319139	93.933952	130.338974	46.898891
6189.322482	92.355934	130.338974	46.314438
6189.325757	90.953247	129.286972	44.736408
6189.329041	90.310341	128.760956	44.385738
6189.332373	88.790764	127.825829	43.567505
6189.335279	87.738747	127.592049	41.872589
6189.338603	86.862068	125.955582	41.814144
6189.341949	85.225601	125.371132	40.937462
6189.345297	84.524254	124.377556	39.593220
6189.348625	83.822906	124.494446	38.716541
6189.351965	82.127998	123.851547	38.599651
6189.355271	81.309761	122.390411	37.313854
6189.358608	80.082405	122.390411	36.437172
6189.361521	78.855057	121.572182	36.729401
6189.364879	78.445938	121.104622	36.203392
6189.368180	77.627701	120.578606	35.209816
6189.371514	76.517242	120.637054	35.209816
6189.374851	76.108124	121.046173	34.742256
6189.378181	75.114548	120.111046	34.508472
