time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6841.775851	212.190323	0.002396	-0.128279	97
6852.174212	50.749702	0.001807	0.000074	99
6866.636347	9.465019	-0.006814	-0.042995	101
6868.578893	99.682442	-0.357254	-0.275072	103
6870.660923	100.908989	-0.360759	-0.268514	105
6872.735777	95.568855	-0.356608	-0.271852	107
6874.765587	97.470459	-0.353278	-0.274428	109
6876.874221	99.780632	-0.358082	-0.268502	111
6878.909351	100.470749	-0.354739	-0.271466	113
6880.975499	102.121368	-0.358977	-0.267350	115
6883.045837	102.563530	-0.355930	-0.268978	117
6885.097085	103.546196	-0.358461	-0.265893	119
6887.156383	100.274750	-0.356017	-0.267122	121
6889.222518	139.669739	-0.277755	-0.286051	123
6891.374871	139.470398	-0.336362	-0.244988	125
6893.332736	141.117554	-0.277021	-0.288113	127
6895.507470	179.878311	-0.275168	-0.339384	129
6897.545582	179.664169	-0.274144	-0.341949	131
6899.631316	181.229004	-0.273034	-0.342195	133
6901.680382	180.841034	-0.274383	-0.341364	135
6903.730364	180.971985	-0.273411	-0.341842	137
6905.815442	181.464005	-0.272622	-0.341195	139
6907.857621	180.359100	-0.274704	-0.338692	141
6909.930475	180.423630	-0.272147	-0.338451	143
6911.990081	180.255081	-0.274199	-0.336663	145
6914.039229	180.027756	-0.272433	-0.336470	147
6916.116764	181.875732	-0.270327	-0.338033	149
6918.173677	181.829987	-0.271716	-0.336642	151
6920.247670	182.320358	-0.268266	-0.337426	153
6922.306460	183.556778	-0.268608	-0.337179	155
6924.366599	183.521286	-0.268164	-0.337204	157
6926.448475	182.292953	-0.270199	-0.333944	159
6928.502614	183.017151	-0.266916	-0.336494	161
6930.583486	183.963745	-0.267671	-0.335183	163
6932.638838	142.419617	-0.329919	-0.238631	165
6934.607758	144.158646	-0.270259	-0.279303	167
6936.774465	144.632431	-0.326712	-0.240494	169
6938.733342	105.790436	-0.345983	-0.257124	171
6940.803084	106.058456	-0.341505	-0.256960	173
6942.860521	107.542641	-0.344744	-0.254694	175
6944.928427	105.676605	-0.343047	-0.255432	177
6946.985550	106.945374	-0.341799	-0.256275	179
6949.047673	149.117050	-0.264551	-0.279652	181
6951.222241	187.662186	-0.260982	-0.333096	183
6953.276297	146.747467	-0.324278	-0.238632	185
6955.235520	147.345810	-0.269739	-0.277376	187
6957.395984	185.405045	-0.262675	-0.329577	189
6959.448399	185.966034	-0.262405	-0.331687	191
6961.514278	186.447342	-0.262502	-0.331119	193
6963.576168	185.569122	-0.263522	-0.329246	195
6965.626539	185.445282	-0.262424	-0.329330	197
6967.697562	184.634537	-0.263645	-0.326475	199
6969.750170	183.852921	-0.263333	-0.325712	201
6971.812239	184.910858	-0.261920	-0.326694	203
6973.875431	185.567902	-0.261798	-0.327257	205
6975.930456	185.641525	-0.260978	-0.326957	207
6978.000225	184.073853	-0.263920	-0.323126	209
6980.061652	184.254272	-0.260296	-0.324023	211
6982.117455	186.304993	-0.259101	-0.325233	213
6984.189582	187.515488	-0.256607	-0.326271	215
6986.250193	188.178543	-0.256488	-0.325646	217
6988.324365	186.524338	-0.259192	-0.323115	219
6990.378629	186.742859	-0.256688	-0.324369	221
6992.452547	187.642441	-0.256377	-0.323762	223
6994.514172	188.715942	-0.253808	-0.325185	225
