crossing time (s)	slope (V/s)	crossing number
7975.338495	7.250666	6781
7976.368467	8.188482	6782
7977.407296	7.548096	6783
7978.426918	9.048272	6784
7979.472611	7.396671	6785
7980.488798	8.304137	6786
7981.533834	6.540857	6787
7982.550831	8.194365	6788
7983.600864	6.366398	6789
7984.613524	7.613824	6790
7985.661400	6.189046	6791
7986.677897	7.231504	6792
7987.722921	6.381382	6793
7988.742297	7.777946	6794
7989.781720	6.432391	6795
7990.806568	7.374533	6796
7991.845140	6.340688	6797
7992.873275	7.893001	6798
7993.901241	7.212357	6799
7994.937031	8.109623	6800
7995.963974	7.447742	6801
7996.998780	7.494264	6802
7998.031950	6.601598	6803
7999.052026	6.842839	6804
8000.096510	6.160386	6805
8001.115464	6.993716	6806
8002.159459	6.519290	6807
8003.183240	7.944735	6808
8004.214030	7.014675	6809
8005.249227	7.563990	6810
8006.281530	7.066652	6811
8007.312565	6.987429	6812
8008.346688	6.310491	6813
8009.366384	6.885252	6814
8010.413469	6.510568	6815
8011.431887	7.277896	6816
8012.470227	6.701666	6817
8013.496730	7.392908	6818
8014.533070	6.250777	6819
8015.563634	7.076439	6820
8016.592620	6.419279	6821
8017.628414	6.904884	6822
8018.650612	6.571997	6823
8019.689988	7.156478	6824
8020.717712	6.694301	6825
8021.752037	6.552265	6826
8022.775971	6.416036	6827
8023.817906	6.917756	6828
8024.837662	6.892615	6829
8025.880255	7.110416	6830
8026.899340	6.328597	6831
8027.939955	6.923445	6832
8028.964830	6.449308	6833
8030.003308	7.173694	6834
8031.030967	6.333544	6835
8032.064612	7.389378	6836
8033.091982	6.342385	6837
8034.121695	7.109132	6838
8035.162429	6.005214	6839
8036.182135	6.918195	6840
8037.227479	6.353276	6841
8038.242051	6.684286	6842
8039.285868	6.526028	6843
8040.311479	6.719393	6844
8041.340635	6.366098	6845
8042.377959	6.851847	6846
8043.408093	6.081899	6847
8044.442258	6.901735	6848
8045.472122	5.947967	6849
8046.496772	7.027375	6850
8047.541567	5.950453	6851
8048.558517	6.590544	6852
8049.602505	6.210791	6853
8050.621629	6.607084	6854
8051.661616	6.391406	6855
8052.687062	6.541040	6856
8053.723046	6.336578	6857
8054.755176	6.479193	6858
8055.780081	5.959569	6859
8056.813832	6.539898	6860
8057.846457	6.107740	6861
8058.878881	6.588866	6862
8059.907104	6.137577	6863
8060.946617	6.621218	6864
8061.967056	6.129346	6865
8063.004470	6.708207	6866
8064.031938	5.880514	6867
8065.066845	6.522967	6868
8066.095272	5.877365	6869
8067.130504	6.382368	6870
8068.160858	6.062702	6871
8069.189150	6.448991	6872
8070.225061	6.031159	6873
8071.251145	6.307273	6874
8072.290561	5.912151	6875
8073.314681	6.369856	6876
8074.351835	5.926464	6877
8075.368366	6.409406	6878
8076.417567	5.538713	6879
8077.434139	6.643642	6880
8078.480966	5.477540	6881
8079.502090	6.322555	6882
8080.533911	5.676494	6883
8081.567135	6.232660	6884
8082.599047	5.646175	6885
8083.633434	6.154566	6886
8084.661704	5.991432	6887
8085.688317	6.051820	6888
8086.728352	5.905038	6889
8087.748231	6.007456	6890
8088.791723	5.781026	6891
8089.811308	6.117137	6892
8090.858417	5.808871	6893
8091.871227	6.048196	6894
8092.921799	5.446000	6895
8093.934458	6.129394	6896
8094.982538	5.530049	6897
8096.002875	6.262310	6898
8097.039247	5.276395	6899
8098.066191	6.153902	6900
8099.106085	5.189293	6901
8100.127463	6.335340	6902
8101.167692	5.321356	6903
8102.189244	6.302560	6904
8103.230198	5.331450	6905
8104.254281	6.137650	6906
8105.291404	5.028858	6907
8106.310967	6.119309	6908
8107.356572	5.170646	6909
8108.372483	5.921475	6910
8109.424277	5.353638	6911
8110.440884	5.987693	6912
8111.486524	5.439803	6913
8112.500519	5.978366	6914
8113.542795	5.510836	6915
8114.564934	5.656904	6916
8115.605434	5.416431	6917
8116.631546	5.729192	6918
8117.659387	5.345460	6919
8118.695168	5.754122	6920
8119.729294	5.248166	6921
8120.761452	5.860799	6922
8121.790224	5.042942	6923
8122.821257	6.032170	6924
8123.856162	5.053124	6925
8124.878765	5.654150	6926
8125.922762	5.043543	6927
8126.941828	6.033569	6928
8127.985120	5.153580	6929
8129.002660	5.760924	6930
8130.048550	5.099416	6931
8131.063482	5.507487	6932
8132.108840	4.971197	6933
8133.131489	5.567971	6934
8134.170990	5.213966	6935
8135.192934	5.407055	6936
8136.232166	5.048142	6937
8137.256792	5.553387	6938
8138.292423	5.191428	6939
8139.316946	5.431307	6940
8140.355813	5.131867	6941
8141.380455	5.496875	6942
8142.419258	5.086243	6943
8143.444434	5.582403	6944
8144.482064	5.117663	6945
8145.503675	5.387453	6946
8146.548220	4.816330	6947
8147.566173	5.356212	6948
8148.612871	4.816756	6949
8149.627355	5.455372	6950
8150.673336	4.776356	6951
8151.694077	5.583501	6952
